"","Tree","bagging","RF","Boosting","Teigen","QDA"
"1",0.798505910893758,0.885375498202159,0.907778422705167,0.930441596032678,0.9706716886658,0.862913261649079
"2",0.88562201060275,0.907927565413724,0.907886753999901,0.885520589545264,0.959073865429288,0.860744682704021
"3",0.794562605677672,0.815992170441436,0.860703720623452,0.838242710094628,0.976506317079601,0.976301068586607
"4",0.837760535383291,0.883377118612036,0.906264863060439,0.860703720623452,0.959073865429288,0.797569285297564
"5",0.71554783801745,0.819513328071181,0.841017000021438,0.840829053621315,0.982351104683844,0.904982282823178
"6",0.819308451308451,0.884919960370811,0.884919960370811,0.840625867672759,0.953303419110555,0.862893268287959
"7",0.820355968083528,0.820306900482604,0.88567054318113,0.757358464795465,0.924734444781006,0.818385664397798
"8",0.714421067050412,0.797286229678432,0.840387237085624,0.818846825458268,0.976499136249714,0.88502019042982
"9",0.777602435968165,0.907437151437151,0.907437151437151,0.907437151437151,0.964873794153162,0.906019843272475
"10",0.861992619926199,0.818220582205822,0.861992619926199,0.861992619926199,0.964863276869418,0.88502298812604
