"","ER","ARI","class"
"1",0.0292397660818714,0.885375498202159,"bagging"
"2",0.0233918128654971,0.907927565413724,"bagging"
"3",0.0467836257309941,0.815992170441436,"bagging"
"4",0.0292397660818714,0.883377118612036,"bagging"
"5",0.0467836257309941,0.819513328071181,"bagging"
"6",0.0292397660818714,0.884919960370811,"bagging"
"7",0.0467836257309941,0.820306900482604,"bagging"
"8",0.0526315789473685,0.797286229678432,"bagging"
"9",0.0233918128654971,0.907437151437151,"bagging"
"10",0.0467836257309941,0.818220582205822,"bagging"
"11",0.0175438596491229,0.930441596032678,"boosting"
"12",0.0292397660818714,0.885520589545264,"boosting"
"13",0.0409356725146199,0.838242710094628,"boosting"
"14",0.0350877192982456,0.860703720623452,"boosting"
"15",0.0409356725146199,0.840829053621315,"boosting"
"16",0.0409356725146199,0.840625867672759,"boosting"
"17",0.064327485380117,0.757358464795465,"boosting"
"18",0.0467836257309941,0.818846825458268,"boosting"
"19",0.0233918128654971,0.907437151437151,"boosting"
"20",0.0350877192982456,0.861992619926199,"boosting"
"21",0.0352941176470588,0.862913261649079,"qda"
"22",0.0352941176470588,0.860744682704021,"qda"
"23",0.00588235294117645,0.976301068586607,"qda"
"24",0.0529411764705883,0.797569285297564,"qda"
"25",0.0235294117647059,0.904982282823178,"qda"
"26",0.0352941176470588,0.862893268287959,"qda"
"27",0.0470588235294118,0.818385664397798,"qda"
"28",0.0294117647058824,0.88502019042982,"qda"
"29",0.0235294117647059,0.906019843272475,"qda"
"30",0.0294117647058824,0.88502298812604,"qda"
"31",0.0233918128654971,0.907778422705167,"rf"
"32",0.0233918128654971,0.907886753999901,"rf"
"33",0.0350877192982456,0.860703720623452,"rf"
"34",0.0233918128654971,0.906264863060439,"rf"
"35",0.0409356725146199,0.841017000021438,"rf"
"36",0.0292397660818714,0.884919960370811,"rf"
"37",0.0292397660818714,0.88567054318113,"rf"
"38",0.0409356725146199,0.840387237085624,"rf"
"39",0.0233918128654971,0.907437151437151,"rf"
"40",0.0350877192982456,0.861992619926199,"rf"
"41",0.0073206442166911,0.9706716886658,"teigen"
"42",0.0102489019033675,0.959073865429288,"teigen"
"43",0.00585651537335286,0.976506317079601,"teigen"
"44",0.0102489019033675,0.959073865429288,"teigen"
"45",0.00439238653001461,0.982351104683844,"teigen"
"46",0.0117130307467057,0.953303419110555,"teigen"
"47",0.0190336749633968,0.924734444781006,"teigen"
"48",0.00585651537335286,0.976499136249714,"teigen"
"49",0.00878477306002923,0.964873794153162,"teigen"
"50",0.00878477306002923,0.964863276869418,"teigen"
"51",0.0526315789473685,0.798505910893758,"tree"
"52",0.0292397660818714,0.88562201060275,"tree"
"53",0.0526315789473685,0.794562605677672,"tree"
"54",0.0409356725146199,0.837760535383291,"tree"
"55",0.0760233918128655,0.71554783801745,"tree"
"56",0.0467836257309941,0.819308451308451,"tree"
"57",0.0467836257309941,0.820355968083528,"tree"
"58",0.0760233918128655,0.714421067050412,"tree"
"59",0.0584795321637427,0.777602435968165,"tree"
"60",0.0350877192982456,0.861992619926199,"tree"
